CMDLINE /cvmfs/sft.cern.ch/lcg/views/LCG_106/x86_64-el9-gcc13-opt/bin/python train.py
MEM 631.339844 1759137856.1816
MEM 657.089844 1759137856.2819
MEM 679.589844 1759137856.3823
MEM 701.839844 1759137856.4826
MEM 721.339844 1759137856.5828
MEM 742.089844 1759137856.6831
MEM 762.089844 1759137856.7834
MEM 785.589844 1759137856.8836
MEM 810.589844 1759137856.9840
MEM 828.339844 1759137857.0843
MEM 850.339844 1759137857.1846
MEM 871.839844 1759137857.2849
MEM 891.339844 1759137857.3852
MEM 911.089844 1759137857.4856
MEM 931.339844 1759137857.5859
MEM 950.839844 1759137857.6862
MEM 973.589844 1759137857.7865
MEM 997.339844 1759137857.8868
MEM 1019.339844 1759137857.9872
MEM 1041.089844 1759137858.0875
MEM 1061.089844 1759137858.1879
MEM 1081.089844 1759137858.2882
MEM 1100.839844 1759137858.3886
MEM 1121.339844 1759137858.4889
MEM 1145.589844 1759137858.5892
MEM 1169.339844 1759137858.6896
MEM 1191.589844 1759137858.7899
MEM 1211.339844 1759137858.8903
MEM 1231.589844 1759137858.9906
MEM 1251.089844 1759137859.0910
MEM 1276.589844 1759137859.1913
MEM 1301.089844 1759137859.2916
MEM 1321.339844 1759137859.3920
MEM 1341.839844 1759137859.4923
MEM 1362.089844 1759137859.5926
MEM 1384.839844 1759137859.6930
MEM 1408.839844 1759137859.7933
MEM 1430.589844 1759137859.8936
MEM 1451.839844 1759137859.9940
MEM 1471.839844 1759137860.0943
MEM 1492.089844 1759137860.1946
MEM 1514.839844 1759137860.2948
MEM 1539.089844 1759137860.3952
MEM 1561.339844 1759137860.4956
MEM 1581.339844 1759137860.5960
MEM 1601.339844 1759137860.6963
MEM 1623.089844 1759137860.7966
MEM 1645.339844 1759137860.8970
MEM 1669.089844 1759137860.9973
MEM 1691.589844 1759137861.0979
MEM 1711.339844 1759137861.1982
MEM 1731.589844 1759137861.2986
MEM 1756.089844 1759137861.3989
MEM 1780.839844 1759137861.4992
MEM 1801.339844 1759137861.5996
MEM 1822.339844 1759137861.7000
MEM 1842.089844 1759137861.8004
MEM 1851.839844 1759137861.9008
MEM 1871.589844 1759137862.0042
MEM 1891.839844 1759137862.1046
MEM 1907.339844 1759137862.2050
MEM 1921.339844 1759137862.3062
MEM 1931.589844 1759137862.4068
MEM 1951.339844 1759137862.5071
MEM 1971.339844 1759137862.6076
MEM 1991.339844 1759137862.7080
MEM 2010.839844 1759137862.8083
MEM 2018.308594 1759137862.9086
MEM 2018.308594 1759137863.0089
MEM 2018.308594 1759137863.1091
MEM 2018.308594 1759137863.2094
MEM 2018.308594 1759137863.3097
MEM 2019.308594 1759137863.4100
MEM 2019.808594 1759137863.5103
MEM 2020.808594 1759137863.6105
MEM 2020.808594 1759137863.7108
MEM 2028.066406 1759137863.8112
MEM 2028.566406 1759137863.9115
MEM 2028.816406 1759137864.0117
MEM 2090.921875 1759137864.1119
MEM 2090.921875 1759137864.2121
MEM 2084.464844 1759137864.3123
MEM 2084.464844 1759137864.4125
MEM 2084.464844 1759137864.5127
MEM 2146.390625 1759137864.6129
MEM 2146.390625 1759137864.7131
MEM 2146.390625 1759137864.8133
MEM 2146.390625 1759137864.9134
MEM 2146.390625 1759137865.0136
MEM 2146.390625 1759137865.1138
MEM 2146.390625 1759137865.2140
MEM 2146.390625 1759137865.3142
MEM 2146.390625 1759137865.4143
MEM 2089.992188 1759137865.5145
MEM 2089.992188 1759137865.6148
MEM 2090.242188 1759137865.7150
MEM 2045.214844 1759137865.8152
MEM 2069.214844 1759137865.9155
MEM 2090.464844 1759137866.0158
MEM 2113.464844 1759137866.1161
MEM 2135.214844 1759137866.2164
MEM 2154.214844 1759137866.3168
MEM 2173.964844 1759137866.4171
MEM 2194.464844 1759137866.5174
MEM 2217.214844 1759137866.6177
MEM 2240.214844 1759137866.7179
MEM 2264.714844 1759137866.8182
MEM 2285.964844 1759137866.9185
MEM 2305.214844 1759137867.0189
MEM 2325.214844 1759137867.1193
MEM 2344.964844 1759137867.2197
MEM 2365.214844 1759137867.3200
MEM 2387.214844 1759137867.4204
MEM 2411.214844 1759137867.5208
MEM 2427.714844 1759137867.6212
MEM 2451.964844 1759137867.7215
MEM 2473.964844 1759137867.8219
MEM 2494.464844 1759137867.9223
MEM 2515.464844 1759137868.0227
MEM 2534.714844 1759137868.1231
MEM 2555.214844 1759137868.2234
MEM 2574.964844 1759137868.3238
MEM 2595.214844 1759137868.4242
MEM 2615.214844 1759137868.5245
MEM 2634.964844 1759137868.6250
MEM 2645.464844 1759137868.7254
MEM 2661.964844 1759137868.8257
MEM 2676.464844 1759137868.9261
MEM 2693.964844 1759137869.0265
MEM 2712.714844 1759137869.1270
MEM 2724.714844 1759137869.2274
MEM 2743.964844 1759137869.3277
MEM 2764.464844 1759137869.4281
MEM 2775.214844 1759137869.5285
MEM 2793.964844 1759137869.6289
